user_id,signup_date,core_action_date
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-09-06 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-09-10 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-09-11 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-09-20 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-09-27 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-09-27 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-10-07 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-10-13 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-10-19 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-10-20 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-10-28 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-11-12 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-11-17 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-11-20 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-11-20 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-11-25 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-11-30 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-12-03 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-12-07 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-12-16 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-12-20 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-12-22 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-12-23 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-12-23 00:00:00
3c9872ac-41ea-4430-bb8b-dd7bee6cd145,2023-08-17 00:00:00,2023-12-27 00:00:00
22374323-cc32-40a4-9787-d5e52b747cb1,2022-12-24 00:00:00,2023-01-05 00:00:00
22374323-cc32-40a4-9787-d5e52b747cb1,2022-12-24 00:00:00,2023-03-18 00:00:00
22374323-cc32-40a4-9787-d5e52b747cb1,2022-12-24 00:00:00,2023-08-27 00:00:00
22374323-cc32-40a4-9787-d5e52b747cb1,2022-12-24 00:00:00,2023-09-25 00:00:00
22374323-cc32-40a4-9787-d5e52b747cb1,2022-12-24 00:00:00,2023-12-02 00:00:00
22374323-cc32-40a4-9787-d5e52b747cb1,2022-12-24 00:00:00,2023-12-12 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2022-11-30 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-01-04 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-01-29 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-02-18 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-03-18 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-04-05 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-04-16 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-04-27 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-05-06 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-05-11 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-05-12 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-07-10 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-11-03 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-11-23 00:00:00
11e7548d-c946-4bd8-a036-468857cb6fff,2022-11-20 00:00:00,2023-12-26 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-01-24 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-02-23 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-03-15 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-03-27 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-04-22 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-06-28 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-07-30 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-08-23 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-09-11 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2022-12-08 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2023-02-13 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2023-04-18 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2023-07-03 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2023-11-09 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2023-11-17 00:00:00
d6e81f0c-a1d0-4ae6-83af-82e6ff525438,2022-01-07 00:00:00,2023-12-20 00:00:00
1e66c711-7561-4e4e-b863-cc993e17c717,2022-02-04 00:00:00,2022-02-20 00:00:00
1e66c711-7561-4e4e-b863-cc993e17c717,2022-02-04 00:00:00,2022-03-04 00:00:00
1e66c711-7561-4e4e-b863-cc993e17c717,2022-02-04 00:00:00,2022-03-05 00:00:00
1e66c711-7561-4e4e-b863-cc993e17c717,2022-02-04 00:00:00,2022-05-30 00:00:00
1e66c711-7561-4e4e-b863-cc993e17c717,2022-02-04 00:00:00,2022-06-06 00:00:00
